Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
FORETT AT BUKIT TIMAH,"1,143,000",570.49,"2,004",07-Sep-20,34B TOH TUCK ROAD #04-53,New Sale,Strata,53,"21,566",-,Apartment,1,Freehold,Uncompleted,N.A,596113,21,59,Central Region,Bukit Timah
FORETT AT BUKIT TIMAH,"1,403,000",731.95,"1,917",07-Sep-20,36A TOH TUCK ROAD #03-62,New Sale,Strata,68,"20,632",-,Apartment,1,Freehold,Uncompleted,N.A,596114,21,59,Central Region,Bukit Timah
NEWEST,"2,020,000","2,432.66",830,07-Sep-20,3 WEST COAST DRIVE #03-49,Resale,Strata,226,"8,938",-,Apartment,1,956 yrs from 27/05/1928,2016,Private,128021,5,12,West Region,Clementi
ENG KONG PARK,"4,100,000","1,763.14","2,325",07-Sep-20,3 ENG KONG PLACE,Resale,Land,163.8,"25,031",-,Terrace House,1,Freehold,-,Private,599095,21,59,Central Region,Bukit Timah
THE TOPIARY,"853,000",904.18,943,07-Sep-20,23 FERNVALE LANE #10-29,Resale,Strata,84,"10,155",-,Executive Condominium,1,99 yrs from 03/07/2012,2016,HDB,797501,28,79,North East Region,Sengkang
HIGH PARK RESIDENCES,"1,050,000",871.88,"1,204",07-Sep-20,31 FERNVALE ROAD #18-57,Resale,Strata,81,"12,963",-,Apartment,1,99 yrs from 05/11/2014,2019,HDB,797417,28,79,North East Region,Sengkang
THE GALE,"1,420,000","1,463.90",970,07-Sep-20,70 FLORA ROAD #08-22,Resale,Strata,136,"10,441",-,Condominium,1,Freehold,2013,Private,506914,17,50,East Region,Pasir Ris
EVERGREEN PARK,"770,000","1,044.11",737,07-Sep-20,31 HOUGANG AVENUE 7 #07-06,Resale,Strata,97,"7,938",-,Apartment,1,99 yrs from 01/10/1995,1999,Private,538800,19,53,North East Region,Hougang
SEMBAWANG HILLS ESTATE,"3,398,000","4,231.33",803,07-Sep-20,1 JALAN LANJUT,Resale,Land,393.1,"8,644",-,Terrace House,1,Freehold,-,Private,577645,20,57,North East Region,Ang Mo Kio
MARINA ONE RESIDENCES,"2,964,320","1,162.51","2,550",07-Sep-20,23 MARINA WAY #26-34,Resale,Strata,108,"27,447",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,18979,1,1,Central Region,Downtown Core
THE SHAUGHNESSY,"1,600,000","3,283.02",487,07-Sep-20,276 MILTONIA CLOSE,Resale,Strata,305,"5,246",-,Terrace House,1,99 yrs from 19/03/2001,2006,HDB,768324,27,76,North Region,Yishun
BELYSA,"880,000",968.76,908,07-Sep-20,57 PASIR RIS DRIVE 1 #09-05,Resale,Strata,90,"9,778",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,HDB,519531,18,51,East Region,Pasir Ris
ONE SHENTON,"1,750,000","1,130.22","1,548",07-Sep-20,1 SHENTON WAY #35-05,Resale,Strata,105,"16,667",-,Apartment,1,99 yrs from 14/10/2005,2011,Private,68803,1,6,Central Region,Downtown Core
RIVERPARC RESIDENCE,"757,755",828.83,914,07-Sep-20,102 PUNGGOL DRIVE #16-25,Resale,Strata,77,"9,841",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,Private,828800,19,82,North East Region,Punggol
TERRASSE,"1,300,000","1,130.22","1,150",07-Sep-20,23 TERRASSE LANE #03-20,Resale,Strata,105,"12,381",-,Condominium,1,99 yrs from 23/08/2010,2014,HDB,544775,19,54,North East Region,Hougang
AMBER RESIDENCES,"3,123,000","1,797.59","1,737",07-Sep-20,50 AMBER ROAD #19-06,Resale,Strata,167,"18,701",-,Condominium,1,Freehold,2011,Private,439888,15,43,Central Region,Marine Parade
OASIS @ MULBERRY,"4,098,000","2,947.18","1,390",07-Sep-20,75 CHEMPAKA AVENUE,Resale,Land,273.8,"14,967",-,Terrace House,1,Freehold,2006,Private,349678,13,34,Central Region,Toa Payoh
HILLVIEW RESIDENCE,"1,285,000","1,237.86","1,038",07-Sep-20,138 HILLVIEW AVENUE #08-10,Resale,Strata,115,"11,174",-,Condominium,1,999 yrs from 12/10/1885,2002,HDB,669599,23,66,West Region,Bukit Batok
RIVERPARC RESIDENCE,"1,440,000","1,754.53",821,07-Sep-20,92 PUNGGOL DRIVE #01-05,Resale,Strata,163,"8,834",-,Executive Condominium,1,99 yrs from 27/12/2010,2014,HDB,828795,19,82,North East Region,Punggol
THE EDEN AT TAMPINES,"1,050,000","1,237.86",848,07-Sep-20,23 TAMPINES STREET 34 #10-11,Resale,Strata,115,"9,130",-,Executive Condominium,1,99 yrs from 12/09/2000,2003,HDB,529233,18,52,East Region,Tampines
LATTICE ONE,"1,966,000","1,184.04","1,660",07-Sep-20,3 SERAYA CRESCENT #05-08,New Sale,Strata,110,"17,873",-,Apartment,1,Freehold,Uncompleted,N.A,575872,20,57,North East Region,Ang Mo Kio
EASTBAY,"1,191,000","1,033.34","1,153",07-Sep-20,1 TAY LIAN TECK ROAD #05-10,Resale,Strata,96,"12,406",-,Apartment,1,Freehold,2010,Private,455615,15,45,East Region,Bedok
H2O RESIDENCES,"1,868,000","1,991.34",938,07-Sep-20,38 FERNVALE LINK #01-21,Resale,Strata,185,"10,097",-,Condominium,1,99 yrs from 10/05/2010,2015,Private,797534,28,79,North East Region,Sengkang
PARC ROSEWOOD,"518,000",430.56,"1,203",07-Sep-20,75 ROSEWOOD DRIVE #02-29,Resale,Strata,40,"12,950",-,Condominium,1,99 yrs from 07/09/2011,2014,HDB,737785,25,73,North Region,Woodlands
CLOVER BY THE PARK,"1,700,000","1,248.62","1,361",07-Sep-20,2 BISHAN STREET 25 #18-04,Resale,Strata,116,"14,655",-,Condominium,1,99 yrs from 10/09/2007,2011,Private,573973,20,57,Central Region,Bishan
AMARYLLIS VILLE,"1,504,800",958,"1,571",07-Sep-20,20 NEWTON ROAD #14-03,Resale,Strata,89,"16,908",-,Condominium,1,99 yrs from 24/10/1997,2004,Private,307953,11,30,Central Region,Novena
CITYLIGHTS,"960,000",559.73,"1,715",07-Sep-20,86 JELLICOE ROAD #30-19,Resale,Strata,52,"18,462",-,Condominium,1,99 yrs from 05/01/2004,2007,HDB,208745,8,20,Central Region,Kallang
KILLINEY 118,"1,250,000",624.31,"2,002",07-Sep-20,118 KILLINEY ROAD #03-02,Resale,Strata,58,"21,552",-,Apartment,1,Freehold,2013,HDB,239555,9,23,Central Region,River Valley
SIMSVILLE,"1,010,000",979.52,"1,031",07-Sep-20,2 GEYLANG EAST AVENUE 2 #13-08,Resale,Strata,91,"11,099",-,Condominium,1,99 yrs from 01/12/1994,1998,Private,389754,14,38,Central Region,Geylang
CARABELLE,"1,855,000","1,302.44","1,424",07-Sep-20,57 WEST COAST WAY #09-10,Resale,Strata,121,"15,331",-,Condominium,1,956 yrs from 27/05/1928,2009,Private,127018,5,12,West Region,Clementi
URBANA,"2,950,000","1,474.67","2,000",07-Sep-20,1 RIVER VALLEY CLOSE #16-03,Resale,Strata,137,"21,533",-,Condominium,1,Freehold,2007,Private,238427,9,23,Central Region,River Valley
PARC ROSEWOOD,"510,000",430.56,"1,185",07-Sep-20,89 ROSEWOOD DRIVE #04-90,Resale,Strata,40,"12,750",-,Condominium,1,99 yrs from 07/09/2011,2014,HDB,737792,25,73,North Region,Woodlands
MANDALE HEIGHTS,"1,210,000",968.76,"1,249",07-Sep-20,45 MANDALAY ROAD #03-04,Resale,Strata,90,"13,444",-,Apartment,1,Freehold,2004,HDB,308225,11,30,Central Region,Novena
RIVER ISLES,"600,000",441.32,"1,360",07-Sep-20,60 EDGEDALE PLAINS #15-17,Resale,Strata,41,"14,634",-,Condominium,1,99 yrs from 06/02/2012,2015,Private,828729,19,82,North East Region,Punggol
COMMONWEALTH TOWERS,"858,000",462.85,"1,854",07-Sep-20,232 COMMONWEALTH AVENUE #23-13,Resale,Strata,43,"19,953",-,Condominium,1,99 yrs from 07/05/2013,2017,Private,149740,3,14,Central Region,Queenstown
WATERTOWN,"1,600,000","1,173.28","1,364",07-Sep-20,61 PUNGGOL CENTRAL #02-01,Resale,Strata,109,"14,679",-,Apartment,1,99 yrs from 18/05/2011,2017,HDB,828840,19,82,North East Region,Punggol
CASA CAMBIO,"705,000",538.2,"1,310",07-Sep-20,11 LIM TUA TOW ROAD #01-35,Resale,Strata,50,"14,100",-,Condominium,1,Freehold,2014,HDB,547803,19,54,North East Region,Serangoon
WELLINGTON PARK,"4,200,000","3,351.91","1,253",08-Sep-20,30 ELLINGTON SQUARE,Resale,Land,311.4,"13,487",-,Semi-Detached House,1,Freehold,1985,Private,568941,20,56,North East Region,Ang Mo Kio
THE GALE,"1,418,000","1,485.43",955,08-Sep-20,62 FLORA ROAD #06-04,Resale,Strata,138,"10,275",-,Condominium,1,Freehold,2013,Private,509746,17,50,East Region,Pasir Ris
PARC OASIS,"1,180,000","1,227.10",962,08-Sep-20,53 JURONG EAST AVENUE 1 #18-02,Resale,Strata,114,"10,351",-,Condominium,1,99 yrs from 01/12/1991,1994,HDB,609783,22,60,West Region,Jurong East
KOVAN MELODY,"1,040,000",904.18,"1,150",08-Sep-20,29 KOVAN ROAD #07-32,Resale,Strata,84,"12,381",-,Condominium,1,99 yrs from 20/01/2004,2006,HDB,545022,19,54,North East Region,Hougang
CASPIAN,"930,000",871.88,"1,067",08-Sep-20,54 LAKESIDE DRIVE #06-20,Resale,Strata,81,"11,481",-,Condominium,1,99 yrs from 17/03/2008,2012,Private,648317,22,64,West Region,Jurong West
LEONIE SUITES,"1,000,000",688.9,"1,452",08-Sep-20,21 LEONIE HILL #30-04,Resale,Strata,64,"15,625",-,Apartment,1,99 yrs from 07/01/2002,2006,HDB,239223,9,23,Central Region,River Valley
PALMERA EAST,"1,000,000",968.76,"1,032",08-Sep-20,29 LORONG MELAYU #05-04,Resale,Strata,90,"11,111",-,Apartment,1,Freehold,2012,Private,416914,14,41,East Region,Bedok
MARINA ONE RESIDENCES,"3,775,900","1,593.07","2,370",08-Sep-20,23 MARINA WAY #20-25,Resale,Strata,148,"25,513",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,18979,1,1,Central Region,Downtown Core
SKIES MILTONIA,"1,130,000","1,076.40","1,050",08-Sep-20,29 MILTONIA CLOSE #09-18,Resale,Strata,100,"11,300",-,Condominium,1,99 yrs from 20/02/2012,2016,HDB,768062,27,76,North Region,Yishun
DORSETT RESIDENCES,"1,380,000",688.9,"2,003",08-Sep-20,331 NEW BRIDGE ROAD #06-03,Resale,Strata,64,"21,563",-,Apartment,1,99 yrs from 07/12/2009,2013,Private,88764,2,8,Central Region,Outram
THE MARQUE @ IRRAWADDY,"1,338,000","1,011.82","1,322",08-Sep-20,8 SHAN ROAD #06-04,Resale,Strata,94,"14,234",-,Apartment,1,Freehold,2009,Private,328108,12,32,Central Region,Novena
SPOTTISWOODE PARK,"750,000",850.36,882,08-Sep-20,102 SPOTTISWOODE PARK ROAD #20-82,Resale,Strata,79,"9,494",-,Apartment,1,99 yrs from 11/04/1973,-,Private,80102,2,8,Central Region,Bukit Merah
LOFT @ STEVENS,"860,000",409.03,"2,103",08-Sep-20,68 STEVENS ROAD #02-06,Resale,Strata,38,"22,632",-,Apartment,1,Freehold,2013,Private,257856,10,25,Central Region,Tanglin
VISTA GARDEN,"3,200,000","2,750.20","1,164",08-Sep-20,11 TOH TUCK RISE,Resale,Land,255.5,"12,524",-,Terrace House,1,Freehold,1975,Private,596756,21,59,Central Region,Bukit Timah
SEASIDE RESIDENCES,"2,128,800","1,259.39","1,690",08-Sep-20,18 SIGLAP LINK #04-29,New Sale,Strata,117,"18,195",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,Private,448873,15,44,East Region,Bedok
JADESCAPE,"1,349,000",764.24,"1,765",08-Sep-20,6 SHUNFU ROAD #18-23,New Sale,Strata,71,"19,000",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,N.A,575744,20,57,Central Region,Bishan
THE TRE VER,"1,770,000","1,108.69","1,596",08-Sep-20,66 POTONG PASIR AVENUE 1 #17-31,New Sale,Strata,103,"17,184",-,Condominium,1,99 yrs from 27/03/2018,Uncompleted,N.A,358394,13,35,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,152,000",592.02,"1,946",08-Sep-20,19 BIDADARI PARK DRIVE #11-13,New Sale,Strata,55,"20,945",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367794,13,36,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,382,000",699.66,"1,975",08-Sep-20,19 BIDADARI PARK DRIVE #13-16,New Sale,Strata,65,"21,262",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367794,13,36,Central Region,Toa Payoh
AFFINITY AT SERANGOON,"1,416,000",904.18,"1,566",08-Sep-20,28 SERANGOON NORTH AVENUE 1 #09-64,New Sale,Strata,84,"16,857",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,Private,554341,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"768,000",452.09,"1,699",08-Sep-20,1 SERANGOON NORTH VIEW #13-09,New Sale,Strata,42,"18,286",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,N.A,554343,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,128,400",688.9,"1,638",08-Sep-20,7 SERANGOON NORTH VIEW #10-29,New Sale,Strata,64,"17,631",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,HDB,554346,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,131,800",688.9,"1,643",08-Sep-20,7 SERANGOON NORTH VIEW #11-29,New Sale,Strata,64,"17,684",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,N.A,554346,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,166,000",828.83,"1,407",08-Sep-20,9 SERANGOON NORTH VIEW #15-44,New Sale,Strata,77,"15,143",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,HDB,554347,19,55,North East Region,Serangoon
DAINTREE RESIDENCE,"1,384,100",785.77,"1,761",08-Sep-20,11A TOH TUCK ROAD #01-04,New Sale,Strata,73,"18,960",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,N.A,596157,21,59,Central Region,Bukit Timah
DAINTREE RESIDENCE,"1,274,440",753.48,"1,691",08-Sep-20,11G TOH TUCK ROAD #01-35,New Sale,Strata,70,"18,206",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,N.A,596129,21,59,Central Region,Bukit Timah
MAYFAIR GARDENS,"1,486,980",753.48,"1,973",08-Sep-20,10 RIFLE RANGE ROAD #04-19,New Sale,Strata,70,"21,243",-,Condominium,1,99 yrs from 26/09/2018,Uncompleted,N.A,588377,21,58,Central Region,Bukit Timah
PIERMONT GRAND,"1,058,670",990.29,"1,069",08-Sep-20,42 SUMANG WALK #10-43,New Sale,Strata,92,"11,507",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828626,19,82,North East Region,Punggol
THE FLORENCE RESIDENCES,"1,090,000",667.37,"1,633",08-Sep-20,85 HOUGANG AVENUE 2 #15-22,New Sale,Strata,62,"17,581",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538861,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,082,000",667.37,"1,621",08-Sep-20,85 HOUGANG AVENUE 2 #15-23,New Sale,Strata,62,"17,452",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538861,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,019,000",635.08,"1,605",08-Sep-20,97 HOUGANG AVENUE 2 #08-76,New Sale,Strata,59,"17,271",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,533753,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,001,000",635.08,"1,576",08-Sep-20,97 HOUGANG AVENUE 2 #05-77,New Sale,Strata,59,"16,966",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,533753,19,53,North East Region,Hougang
ROYALGREEN,"2,123,000",818.06,"2,595",08-Sep-20,2 ANAMALAI AVENUE #03-07,New Sale,Strata,76,"27,934",-,Condominium,1,Freehold,Uncompleted,N.A,279988,10,27,Central Region,Bukit Timah
VIEW AT KISMIS,"1,556,000",893.41,"1,742",08-Sep-20,15 LORONG KISMIS #05-04,New Sale,Strata,83,"18,747",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,N.A,598008,21,59,Central Region,Bukit Timah
SENGKANG GRAND RESIDENCES,"1,740,800","1,022.58","1,702",08-Sep-20,84 COMPASSVALE BOW #06-54,New Sale,Strata,95,"18,324",-,Apartment,1,99 yrs from 13/11/2018,Uncompleted,N.A,544572,19,54,North East Region,Sengkang
LA CASA,"828,000","1,194.80",693,08-Sep-20,66 WOODLANDS DRIVE 16 #02-35,Resale,Strata,111,"7,459",-,Executive Condominium,1,99 yrs from 13/09/2004,2008,HDB,737893,25,73,North Region,Woodlands
MILL POINT,"1,628,888",914.94,"1,780",08-Sep-20,3 ZION CLOSE #09-08,Resale,Strata,85,"19,163",-,Apartment,1,999 yrs from 21/06/1877,2004,Private,247813,10,24,Central Region,Tanglin
STRAITS GARDENS,"2,800,000","3,424.03",818,08-Sep-20,22 ANDREWS AVENUE,Resale,Land,318.1,"8,802",-,Semi-Detached House,1,Freehold,2005,HDB,759936,27,75,North Region,Sembawang
THE BEACON,"1,500,000","1,162.51","1,290",08-Sep-20,130 CANTONMENT ROAD #14-01,Resale,Strata,108,"13,889",-,Apartment,1,99 yrs from 05/03/2004,2008,Private,89775,2,8,Central Region,Bukit Merah
RIVERBANK @ FERNVALE,"1,040,000",947.23,"1,098",08-Sep-20,13 FERNVALE CLOSE #16-15,Resale,Strata,88,"11,818",-,Condominium,1,99 yrs from 10/07/2013,2017,HDB,797476,28,79,North East Region,Sengkang
SUMMERHILL,"1,890,000","1,603.84","1,178",08-Sep-20,50 HUME AVENUE #02-08,Resale,Strata,149,"12,685",-,Condominium,1,Freehold,2002,Private,596229,21,59,West Region,Bukit Batok
THE TRILINQ,"4,800,000","4,606.99","1,042",08-Sep-20,28A JALAN LEMPENG #36-15,Resale,Strata,428,"11,215",-,Condominium,1,99 yrs from 16/04/2012,2017,Private,128808,5,12,West Region,Clementi
SAVANNAH CONDOPARK,"1,360,000","1,797.59",757,08-Sep-20,33 SIMEI RISE #09-06,Resale,Strata,167,"8,144",-,Condominium,1,99 yrs from 29/11/2000,2005,Private,528780,18,52,East Region,Tampines
THE CLEARWATER,"1,380,000","1,377.79","1,002",08-Sep-20,10 BEDOK RESERVOIR VIEW #12-29,Resale,Strata,128,"10,781",-,Condominium,1,99 yrs from 18/07/1997,2001,Private,479236,16,47,East Region,Bedok
EDELWEISS PARK CONDOMINIUM,"1,130,000","1,334.74",847,08-Sep-20,100 FLORA ROAD #02-66,Resale,Strata,124,"9,113",-,Condominium,1,Freehold,2006,Private,509743,17,50,East Region,Pasir Ris
THE SANCTUARY @ GEYLANG,"605,000",516.67,"1,171",08-Sep-20,1 LORONG 30 GEYLANG #04-03,Resale,Strata,48,"12,604",-,Apartment,1,Freehold,2014,HDB,398342,14,39,Central Region,Geylang
BELYSA,"939,800","1,033.34",909,08-Sep-20,59 PASIR RIS DRIVE 1 #10-17,Resale,Strata,96,"9,790",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,HDB,519532,18,51,East Region,Pasir Ris
THE TENNERY,"675,000",624.31,"1,081",08-Sep-20,3 WOODLANDS ROAD #08-14,Resale,Strata,58,"11,638",-,Apartment,1,99 yrs from 24/05/2010,2014,Private,677901,23,67,West Region,Choa Chu Kang
SLOANE RESIDENCES,"3,614,000","1,291.68","2,771",08-Sep-20,17 BALMORAL ROAD #12-07,New Sale,Strata,120,"29,825","3,579,000",Apartment,1,Freehold,Uncompleted,Private,259803,10,25,Central Region,Tanglin
SLOANE RESIDENCES,"4,186,000","1,496.20","2,774",08-Sep-20,17 BALMORAL ROAD #12-08,New Sale,Strata,139,"29,863","4,151,000",Apartment,1,Freehold,Uncompleted,Private,259803,10,25,Central Region,Tanglin
HILLCREST ARCADIA,"2,380,000","2,744.82",867,08-Sep-20,251 ARCADIA ROAD #01-03,Resale,Strata,255,"9,333",-,Condominium,1,99 yrs from 01/12/1975,1980,Private,289847,11,28,Central Region,Bukit Timah
BARKER 9,"5,350,000","6,458.40",828,08-Sep-20,9 BARKER ROAD,Resale,Strata,600,"8,917",-,Semi-Detached House,1,Freehold,2013,Private,309873,11,30,Central Region,Novena
YEW MEI GREEN,"1,070,000","1,636.13",654,08-Sep-20,56 CHOA CHU KANG NORTH 6 #20-25,Resale,Strata,152,"7,039",-,Executive Condominium,1,99 yrs from 01/12/1997,2000,Private,689577,23,68,West Region,Choa Chu Kang
N.A.,"28,500,000","15,567.97","1,831",08-Sep-20,44 DALVEY ROAD,Resale,Land,"1,446.30","19,705",-,Detached House,1,Freehold,1975,Private,259449,10,25,Central Region,Tanglin
THE GALE,"909,000",914.94,994,08-Sep-20,78 FLORA ROAD #08-42,Resale,Strata,85,"10,694",-,Condominium,1,Freehold,2013,HDB,506918,17,50,East Region,Pasir Ris
SILAHIS APARTMENTS,"1,430,000","1,442.38",991,08-Sep-20,121 LORONG K TELOK KURAU #04-01,Resale,Strata,134,"10,672",-,Apartment,1,Freehold,1993,Private,425762,15,42,East Region,Bedok
COCO PALMS,"1,560,000","1,259.39","1,239",08-Sep-20,27 PASIR RIS GROVE #07-50,Resale,Strata,117,"13,333",-,Condominium,1,99 yrs from 07/01/2008,2018,HDB,518073,18,51,East Region,Pasir Ris
COCO PALMS,"885,000",742.72,"1,192",08-Sep-20,15 PASIR RIS GROVE #06-13,Resale,Strata,69,"12,826",-,Condominium,1,99 yrs from 07/01/2008,2018,HDB,518142,18,51,East Region,Pasir Ris
SOUTHBANK,"1,520,000",958,"1,587",08-Sep-20,881 NORTH BRIDGE ROAD #38-10,Resale,Strata,89,"17,079",-,Apartment,1,99 yrs from 27/01/2006,2010,Private,198784,7,19,Central Region,Kallang
OCEAN PARK,"2,890,000","2,109.74","1,370",08-Sep-20,530 EAST COAST ROAD #11-02,Resale,Strata,196,"14,745",-,Condominium,1,Freehold,1984,Private,458970,15,45,East Region,Bedok
HILLSTA,"700,000",635.08,"1,102",08-Sep-20,68 PHOENIX ROAD #18-11,Resale,Strata,59,"11,864",-,Condominium,1,99 yrs from 03/10/2011,2016,HDB,668202,23,66,West Region,Bukit Batok
N.A.,"3,800,000","3,200.14","1,187",08-Sep-20,14 THAM SOONG AVENUE,Resale,Land,297.3,"12,782",-,Semi-Detached House,1,Freehold,1960,Private,597030,21,59,Central Region,Bukit Timah
THE GREENWOOD,"2,760,000","2,992.39",922,08-Sep-20,263 GREENWOOD AVENUE,Resale,Strata,278,"9,928",-,Terrace House,1,103 yrs from 02/06/2008,2011,Private,286873,11,28,Central Region,Bukit Timah
THE MILTONIA RESIDENCES,"618,000",592.02,"1,044",08-Sep-20,520 MILTONIA CLOSE #01-06,Resale,Strata,55,"11,236",-,Condominium,1,99 yrs from 30/11/2010,2014,HDB,768104,27,76,North Region,Yishun
WESTVILLE,"1,400,000","1,613.52",868,08-Sep-20,143 WESTWOOD CRESCENT,Resale,Land,149.9,"9,340",-,Terrace House,1,99 yrs from 01/12/1994,1998,HDB,648510,22,64,West Region,Jurong West
THE RAINFOREST,"1,098,000","1,151.75",953,08-Sep-20,343 CHOA CHU KANG AVENUE 3 #08-26,Resale,Strata,107,"10,262",-,Executive Condominium,1,99 yrs from 28/06/2011,2015,Private,689875,23,68,West Region,Choa Chu Kang
THE WARREN,"958,000","1,227.10",781,08-Sep-20,57 CHOA CHU KANG LOOP #03-41,Resale,Strata,114,"8,404",-,Condominium,1,99 yrs from 21/06/2001,2004,Private,689685,23,68,West Region,Choa Chu Kang
LIVIA,"1,100,000","1,323.97",831,08-Sep-20,73 PASIR RIS GROVE #03-27,Resale,Strata,123,"8,943",-,Condominium,1,99 yrs from 07/01/2008,2011,HDB,518206,18,51,East Region,Pasir Ris
THE RAINFOREST,"930,000",979.52,949,08-Sep-20,343 CHOA CHU KANG AVENUE 3 #13-25,Resale,Strata,91,"10,220",-,Executive Condominium,1,99 yrs from 28/06/2011,2015,HDB,689875,23,68,West Region,Choa Chu Kang
DE PARADISO,"1,400,000","1,130.22","1,239",08-Sep-20,20 MARTABAN ROAD #02-01,Resale,Strata,105,"13,333",-,Apartment,1,Freehold,2004,Private,328644,12,32,Central Region,Novena
SKY VUE,"1,315,000",807.3,"1,629",08-Sep-20,3 BISHAN STREET 15 #28-16,Resale,Strata,75,"17,533",-,Condominium,1,99 yrs from 04/03/2013,2016,Private,573911,20,57,Central Region,Bishan
WATERFORD RESIDENCE,"1,775,000","1,044.11","1,700",08-Sep-20,23 KIM YAM ROAD #07-08,Resale,Strata,97,"18,299",-,Apartment,1,999 yrs from 01/07/1841,2010,Private,239333,9,23,Central Region,River Valley
MAYFAIR MODERN,"1,940,800",958,"2,026",08-Sep-20,6 RIFLE RANGE ROAD #06-12,New Sale,Strata,89,"21,807",-,Condominium,1,99 yrs from 18/09/2018,Uncompleted,HDB,588375,21,58,Central Region,Bukit Timah
NOMA,"1,067,200",667.37,"1,599",08-Sep-20,333 GUILLEMARD ROAD #02-06,New Sale,Strata,62,"17,213",-,Apartment,1,Freehold,Uncompleted,Private,399758,14,39,Central Region,Geylang
JADESCAPE,"2,181,600","1,259.39","1,732",09-Sep-20,6 SHUNFU ROAD #18-24,New Sale,Strata,117,"18,646",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575744,20,57,Central Region,Bishan
THE WOODLEIGH RESIDENCES,"1,363,000",699.66,"1,948",09-Sep-20,21 BIDADARI PARK DRIVE #12-23,New Sale,Strata,65,"20,969",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367795,13,36,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,155,000",592.02,"1,951",09-Sep-20,25 BIDADARI PARK DRIVE #09-45,New Sale,Strata,55,"21,000",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367797,13,36,Central Region,Toa Payoh
PARK COLONIAL,"1,368,000",678.13,"2,017",09-Sep-20,2 WOODLEIGH LANE #10-01,New Sale,Strata,63,"21,714",-,Condominium,1,99 yrs from 11/10/2017,Uncompleted,N.A,357685,13,35,Central Region,Toa Payoh
PARK COLONIAL,"961,000",505.91,"1,900",09-Sep-20,8 WOODLEIGH LANE #02-25,New Sale,Strata,47,"20,447",-,Condominium,1,99 yrs from 11/10/2017,Uncompleted,N.A,357688,13,35,Central Region,Toa Payoh
THE GARDEN RESIDENCES,"1,236,500",796.54,"1,552",09-Sep-20,3 SERANGOON NORTH VIEW #04-23,New Sale,Strata,74,"16,709",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,Private,554344,19,55,North East Region,Serangoon
FOURTH AVENUE RESIDENCES,"1,060,000",473.62,"2,238",09-Sep-20,12 FOURTH AVENUE #01-38,New Sale,Strata,44,"24,091",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,N.A,268676,10,26,Central Region,Bukit Timah
FOURTH AVENUE RESIDENCES,"2,176,000",958,"2,271",09-Sep-20,16 FOURTH AVENUE #01-55,New Sale,Strata,89,"24,449",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,N.A,268678,10,26,Central Region,Bukit Timah
DAINTREE RESIDENCE,"1,350,920",775.01,"1,743",09-Sep-20,11A TOH TUCK ROAD #03-04,New Sale,Strata,72,"18,763",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,N.A,596157,21,59,Central Region,Bukit Timah
