Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
YONG AN PARK,"10,200,000","7,750.08","1,316",03-Sep-20,325 RIVER VALLEY ROAD #01-03,Resale,Strata,720,"14,167",-,Condominium,1,Freehold,1986,Private,238357,9,23,Central Region,River Valley
ECO,"750,000",635.08,"1,181",03-Sep-20,275 BEDOK SOUTH AVENUE 3 #05-19,Resale,Strata,59,"12,712",-,Condominium,1,99 yrs from 14/05/2012,2017,HDB,465491,16,46,East Region,Bedok
FLO RESIDENCE,"850,000","1,011.82",840,03-Sep-20,1 PUNGGOL FIELD WALK #03-01,Resale,Strata,94,"9,043",-,Condominium,1,99 yrs from 05/12/2011,2016,HDB,828739,19,82,North East Region,Punggol
N.A.,"4,000,000","4,768.45",839,03-Sep-20,24 BEDOK LANE,Resale,Land,443,"9,029",-,Semi-Detached House,1,Freehold,-,Private,469779,16,46,East Region,Bedok
WATERSCAPE AT CAVENAGH,"1,200,000",592.02,"2,027",03-Sep-20,65A CAVENAGH ROAD #03-10,Resale,Strata,55,"21,818",-,Apartment,1,Freehold,2014,Private,229620,9,22,Central Region,Newton
BELYSA,"928,000","1,087.16",854,03-Sep-20,55 PASIR RIS DRIVE 1 #05-03,Resale,Strata,101,"9,188",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,Private,519530,18,51,East Region,Pasir Ris
THE CANOPY,"1,090,000","1,302.44",837,03-Sep-20,73 YISHUN AVENUE 11 #03-07,Resale,Strata,121,"9,008",-,Executive Condominium,1,99 yrs from 14/06/2010,2014,HDB,768859,27,76,North Region,Yishun
BLOSSOM RESIDENCES,"1,060,000","1,248.62",849,03-Sep-20,32 SEGAR ROAD #16-20,Resale,Strata,116,"9,138",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,HDB,677722,23,67,West Region,Bukit Panjang
WHITEHAVEN,"1,150,000",785.77,"1,464",03-Sep-20,334 PASIR PANJANG ROAD #04-17,Resale,Strata,73,"15,753",-,Apartment,1,Freehold,2016,HDB,118659,5,11,Central Region,Queenstown
DORSETT RESIDENCES,"958,000",484.38,"1,978",03-Sep-20,331 NEW BRIDGE ROAD #05-01,Resale,Strata,45,"21,289",-,Apartment,1,99 yrs from 07/12/2009,2013,HDB,88764,2,8,Central Region,Outram
WATERFRONT GOLD,"1,570,000","1,377.79","1,140",03-Sep-20,756 BEDOK RESERVOIR ROAD #05-18,Resale,Strata,128,"12,266",-,Condominium,1,99 yrs from 26/11/2009,2014,HDB,479259,16,47,East Region,Bedok
HILLVIEW HEIGHTS,"1,570,000","1,194.80","1,314",03-Sep-20,29 HILLVIEW AVENUE #10-06,Resale,Strata,111,"14,144",-,Condominium,1,Freehold,1996,Private,669561,23,66,West Region,Bukit Batok
SENNETT ESTATE,"828,300","1,033.34",802,03-Sep-20,273A MACPHERSON ROAD,Resale,Strata,96,"8,628",-,Apartment,1,Freehold,1968,HDB,348598,13,34,Central Region,Toa Payoh
THE QUINTET,"895,000","1,270.15",705,03-Sep-20,46 CHOA CHU KANG STREET 64 #04-22,Resale,Strata,118,"7,585",-,Executive Condominium,1,99 yrs from 22/01/2003,2006,HDB,689106,23,68,West Region,Choa Chu Kang
BOTANIQUE AT BARTLEY,"732,000",495.14,"1,478",03-Sep-20,231 UPPER PAYA LEBAR ROAD #08-30,Sub Sale,Strata,46,"15,913",-,Condominium,1,99 yrs from 14/04/2014,2019,Private,533870,19,53,North East Region,Serangoon
LIVINGSTON MANSIONS,"2,200,000","2,034.40","1,081",03-Sep-20,135 LORONG L TELOK KURAU #04-01,Resale,Strata,189,"11,640",-,Apartment,1,Freehold,2002,Private,425571,15,42,East Region,Bedok
