Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
SANCTUARY GREEN,"1,550,000","1,216.33","1,274",08-Oct-20,187 TANJONG RHU ROAD #18-04,Resale,Strata,113,"13,717",-,Condominium,1,99 yrs from 17/03/1997,2003,HDB,436925,15,43,Central Region,Kallang
BOATHOUSE RESIDENCES,"685,000",624.31,"1,097",08-Oct-20,23 UPPER SERANGOON VIEW #12-06,Resale,Strata,58,"11,810",-,Condominium,1,99 yrs from 09/02/2011,2015,Private,534047,19,53,North East Region,Hougang
FLORAVILLE,"1,000,000",796.54,"1,255",08-Oct-20,2 CACTUS ROAD #02-04,Resale,Strata,74,"13,514",-,Apartment,1,Freehold,2017,HDB,809578,28,80,North East Region,Ang Mo Kio
HAZEL PARK CONDOMINIUM,"1,080,000",979.52,"1,103",08-Oct-20,29 HAZEL PARK TERRACE #04-09,Resale,Strata,91,"11,868",-,Condominium,1,999 yrs from 25/09/1882,2000,Private,678950,23,67,West Region,Bukit Panjang
NATURA@HILLVIEW,"815,000",635.08,"1,283",08-Oct-20,20 HILLVIEW TERRACE #05-14,Resale,Strata,59,"13,814",-,Apartment,1,Freehold,2015,Private,669231,23,66,West Region,Bukit Batok
THE WATERINA,"1,520,000","1,065.64","1,426",08-Oct-20,67 LORONG 40 GEYLANG #04-38,Resale,Strata,99,"15,354",-,Apartment,1,Freehold,2005,Private,398086,14,39,Central Region,Geylang
STARLIGHT SUITES,"2,000,000","1,076.40","1,858",08-Oct-20,11 RIVER VALLEY CLOSE #08-01,Resale,Strata,100,"20,000",-,Apartment,1,Freehold,2014,Private,238437,9,23,Central Region,River Valley
N.A.,"5,050,000","2,739.44","1,843",08-Oct-20,14 ROBIN ROAD,Resale,Land,254.5,"19,843",-,Terrace House,1,Freehold,-,Private,258195,10,25,Central Region,Tanglin
SKYPARK RESIDENCES,"1,500,000","1,593.07",942,08-Oct-20,17 SEMBAWANG CRESCENT #14-31,Resale,Strata,148,"10,135",-,Executive Condominium,1,99 yrs from 18/03/2013,2016,HDB,757061,27,75,North Region,Sembawang
BUKIT REGENCY,"1,880,000","1,528.49","1,230",08-Oct-20,1 UPPER BUKIT TIMAH VIEW #04-05,Resale,Strata,142,"13,239",-,Condominium,1,Freehold,1995,HDB,588132,21,58,Central Region,Bukit Timah
EIGHT RIVERSUITES,"1,340,000",936.47,"1,431",08-Oct-20,10 WHAMPOA EAST #24-30,Resale,Strata,87,"15,402",-,Condominium,1,99 yrs from 11/07/2011,2016,HDB,338521,12,33,Central Region,Kallang
GREEN SPRINGS,"3,038,000","2,545.69","1,193",08-Oct-20,12F GERALD CRESCENT,Resale,Land,236.5,"12,846",-,Terrace House,1,999 yrs from 01/01/1879,2002,HDB,797761,28,79,North East Region,Hougang
VILLA VERDE,"1,695,000","2,152.80",787,08-Oct-20,99 VERDE CRESCENT,Resale,Land,200,"8,475",-,Terrace House,1,99 yrs from 22/03/1997,2000,HDB,688449,23,68,West Region,Choa Chu Kang
ORCHID PARK CONDOMINIUM,"790,000","1,194.80",661,08-Oct-20,87 YISHUN STREET 81 #02-04,Resale,Strata,111,"7,117",-,Condominium,1,99 yrs from 01/09/1991,1994,Private,768448,27,76,North Region,Yishun
THE ARCADIA,"3,700,000","3,713.58",996,08-Oct-20,237 ARCADIA ROAD #09-03,Resale,Strata,345,"10,725",-,Condominium,1,99 yrs from 17/08/1979,1983,Private,289844,11,28,Central Region,Bukit Timah
KERRISDALE,"1,480,000","1,259.39","1,175",08-Oct-20,36 STURDEE ROAD #28-17,Resale,Strata,117,"12,650",-,Condominium,1,99 yrs from 02/04/1998,2005,HDB,207855,8,20,Central Region,Kallang
THE SAIL @ MARINA BAY,"1,880,000","1,259.39","1,493",08-Oct-20,6 MARINA BOULEVARD #06-23,Resale,Strata,117,"16,068",-,Apartment,1,99 yrs from 12/08/2002,2008,Private,18985,1,1,Central Region,Downtown Core
N.A.,"2,035,000","1,487.58","1,368",08-Oct-20,6 LORONG 36 GEYLANG,Resale,Land,138.2,"14,725",-,Terrace House,1,Freehold,1930,Private,398141,14,39,Central Region,Geylang
MANDARIN GARDENS,"2,500,000","3,067.74",815,08-Oct-20,5 SIGLAP ROAD #20-43,Resale,Strata,285,"8,772",-,Condominium,1,99 yrs from 08/03/1982,1986,Private,448908,15,44,East Region,Bedok
THE CANOPY,"900,000","1,033.34",871,08-Oct-20,85 YISHUN AVENUE 11 #10-31,Resale,Strata,96,"9,375",-,Executive Condominium,1,99 yrs from 14/06/2010,2014,HDB,768865,27,76,North Region,Yishun
THE MINTON,"1,320,000","1,216.33","1,085",08-Oct-20,6 HOUGANG STREET 11 #05-10,Resale,Strata,113,"11,681",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,538755,19,53,North East Region,Hougang
CAMELIA PARK,"2,838,000","2,508.01","1,132",08-Oct-20,159 TAMARIND ROAD,Resale,Land,233,"12,180",-,Terrace House,1,Freehold,1982,Private,806113,28,80,North East Region,Serangoon
ARC AT TAMPINES,"890,000",958,929,08-Oct-20,5 TAMPINES AVENUE 8 #05-08,Resale,Strata,89,"10,000",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,Private,529596,18,52,East Region,Tampines
HILLSTA,"610,000",570.49,"1,069",08-Oct-20,66 PHOENIX ROAD #07-02,Resale,Strata,53,"11,509",-,Condominium,1,99 yrs from 03/10/2011,2016,Private,668201,23,66,West Region,Bukit Batok
TWIN WATERFALLS,"1,300,000","1,399.32",929,08-Oct-20,118 PUNGGOL WALK #01-40,Resale,Strata,130,"10,000",-,Executive Condominium,1,99 yrs from 05/10/2011,2015,HDB,828769,19,82,North East Region,Punggol
BAYSHORE PARK,"2,159,998","2,238.91",965,08-Oct-20,60 BAYSHORE ROAD #28-03,Resale,Strata,208,"10,385",-,Condominium,1,99 yrs from 17/03/1982,1986,HDB,469982,16,46,East Region,Bedok
THE CENTRIS,"1,650,000","1,506.96","1,095",08-Oct-20,87 JURONG WEST CENTRAL 3 #10-48,Resale,Strata,140,"11,786",-,Apartment,1,99 yrs from 21/06/2006,2009,Private,648343,22,64,West Region,Jurong West
GARDENVILLE,"2,520,000","1,334.74","1,888",08-Oct-20,10 WALSHE ROAD #04-02,Resale,Strata,124,"20,323",-,Condominium,1,Freehold,1999,Private,257654,10,25,Central Region,Tanglin
MANDARIN GARDENS,"1,130,000","1,001.05","1,129",08-Oct-20,5 SIGLAP ROAD #12-42,Resale,Strata,93,"12,151",-,Condominium,1,99 yrs from 08/03/1982,1986,HDB,448908,15,44,East Region,Bedok
REGENT GROVE,"828,000","1,173.28",706,08-Oct-20,50 CHOA CHU KANG NORTH 7 #11-04,Resale,Strata,109,"7,596",-,Condominium,1,99 yrs from 17/05/1997,2000,HDB,689527,23,68,West Region,Choa Chu Kang
THE MINTON,"1,180,000","1,108.69","1,064",08-Oct-20,12 HOUGANG STREET 11 #04-56,Resale,Strata,103,"11,456",-,Condominium,1,99 yrs from 27/07/2007,2013,HDB,534075,19,53,North East Region,Hougang
WESTVILLE,"1,575,000","2,153.88",731,08-Oct-20,69 WESTWOOD AVENUE,Resale,Land,200.1,"7,871",-,Semi-Detached House,1,99 yrs from 01/12/1994,1997,HDB,648391,22,64,West Region,Jurong West
MERA GARDENS,"1,745,000","1,640.43","1,064",08-Oct-20,56 ALMOND CRESCENT,Resale,Land,152.4,"11,450",-,Terrace House,1,99 yrs from 01/05/1994,1998,HDB,677810,23,67,West Region,Bukit Panjang
QUINTERRA,"2,435,000","1,786.82","1,363",08-Oct-20,359 HOLLAND ROAD #11-03,Resale,Strata,166,"14,669",-,Apartment,1,99 yrs from 08/03/2006,2009,Private,278636,10,27,Central Region,Bukit Timah
HERON BAY,"1,335,000","1,388.56",961,08-Oct-20,63 UPPER SERANGOON VIEW #11-24,Resale,Strata,129,"10,349",-,Executive Condominium,1,99 yrs from 04/06/2012,2015,HDB,534014,19,53,North East Region,Hougang
STRATA,"1,720,000","1,065.64","1,614",08-Oct-20,1 ESSEX ROAD #23-04,Resale,Strata,99,"17,374",-,Apartment,1,Freehold,2006,HDB,309329,11,30,Central Region,Novena
GRANDEUR PARK RESIDENCES,"2,287,890","1,453.14","1,574",09-Oct-20,5 BEDOK SOUTH AVENUE 3 #06-23,New Sale,Strata,135,"16,947",-,Condominium,1,99 yrs from 25/05/2016,Uncompleted,Private,465463,16,46,East Region,Bedok
TWIN VEW,"1,739,000","1,184.04","1,469",09-Oct-20,93 WEST COAST VALE #25-09,New Sale,Strata,110,"15,809",-,Apartment,1,99 yrs from 15/05/2017,Uncompleted,Private,126756,5,12,West Region,Clementi
JADESCAPE,"2,161,000","1,259.39","1,716",09-Oct-20,10 SHUNFU ROAD #04-36,New Sale,Strata,117,"18,470",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575746,20,57,Central Region,Bishan
RIVERFRONT RESIDENCES,"771,000",516.67,"1,492",09-Oct-20,41 HOUGANG AVENUE 7 #13-12,New Sale,Strata,48,"16,063",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533813,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,191,000",731.95,"1,627",09-Oct-20,24 SERANGOON NORTH AVENUE 1 #14-33,New Sale,Strata,68,"17,515",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554339,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,256,000",796.54,"1,577",09-Oct-20,3 SERANGOON NORTH VIEW #07-23,New Sale,Strata,74,"16,973",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,HDB,554344,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,316,500",796.54,"1,653",09-Oct-20,7 SERANGOON NORTH VIEW #12-35,New Sale,Strata,74,"17,791",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,N.A,554346,19,55,North East Region,Serangoon
FOURTH AVENUE RESIDENCES,"1,628,000",688.9,"2,363",09-Oct-20,10 FOURTH AVENUE #08-34,New Sale,Strata,64,"25,438",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,268675,10,26,Central Region,Bukit Timah
THE JOVELL,"1,228,500","1,033.34","1,189",09-Oct-20,15 FLORA DRIVE #07-17,New Sale,Strata,96,"12,797",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,N.A,506854,17,50,East Region,Pasir Ris
WHISTLER GRAND,"768,000",441.32,"1,740",09-Oct-20,107 WEST COAST VALE #30-04,New Sale,Strata,41,"18,732",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,N.A,126751,5,12,West Region,Clementi
ROYALGREEN,"1,660,000",635.08,"2,614",09-Oct-20,2 ANAMALAI AVENUE #03-04,New Sale,Strata,59,"28,136",-,Condominium,1,Freehold,Uncompleted,Private,279988,10,27,Central Region,Bukit Timah
TREASURE AT TAMPINES,"1,449,000","1,011.82","1,432",09-Oct-20,11 TAMPINES LANE #09-43,New Sale,Strata,94,"15,415",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528480,18,52,East Region,Tampines
ONE PEARL BANK,"1,795,000",699.66,"2,566",09-Oct-20,1 PEARL BANK #23-05,New Sale,Strata,65,"27,615",-,Apartment,1,99 yrs from 01/03/2019,Uncompleted,Private,169016,3,16,Central Region,Outram
PARC CLEMATIS,"2,034,000","1,237.86","1,643",09-Oct-20,8D JALAN LEMPENG #13-48,New Sale,Strata,115,"17,687",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,HDB,128826,5,12,West Region,Clementi
VERDALE,"851,100",462.85,"1,839",09-Oct-20,6 DE SOUZA AVENUE #03-11,New Sale,Strata,43,"19,793",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,599460,21,59,Central Region,Bukit Timah
MYRA,"1,433,000",678.13,"2,113",09-Oct-20,9 MEYAPPA CHETTIAR ROAD #07-04,New Sale,Strata,63,"22,746",-,Apartment,1,Freehold,Uncompleted,Private,358456,13,35,Central Region,Toa Payoh
FORETT AT BUKIT TIMAH,"1,392,000",721.19,"1,930",09-Oct-20,32B TOH TUCK ROAD #03-13,New Sale,Strata,67,"20,776",-,Apartment,1,Freehold,Uncompleted,HDB,596111,21,59,Central Region,Bukit Timah
RIVERSAILS,"1,520,000","1,367.03","1,112",09-Oct-20,6 UPPER SERANGOON CRESCENT #14-12,Resale,Strata,127,"11,969",-,Condominium,1,99 yrs from 07/12/2011,2016,HDB,534033,19,53,North East Region,Hougang
RIO VISTA,"1,040,000","1,248.62",833,09-Oct-20,18 UPPER SERANGOON VIEW #05-14,Resale,Strata,116,"8,966",-,Condominium,1,99 yrs from 02/01/2001,2004,HDB,534202,19,53,North East Region,Hougang
N.A.,"1,500,000","1,001.05","1,498",09-Oct-20,9B YONG SIAK STREET,Resale,Strata,93,"16,129",-,Apartment,1,Freehold,-,Private,168645,3,16,Central Region,Bukit Merah
ADAM PARK CONDOMINIUM,"2,120,000","1,765.30","1,201",09-Oct-20,29 ADAM ROAD #05-01,Resale,Strata,164,"12,927",-,Condominium,1,Freehold,2004,Private,289901,11,28,Central Region,Bukit Timah
WATERFRONT KEY,"1,600,000","1,356.26","1,180",09-Oct-20,770 BEDOK RESERVOIR ROAD #12-04,Resale,Strata,126,"12,698",-,Condominium,1,99 yrs from 31/10/2007,2012,HDB,479250,16,47,East Region,Bedok
FRANKEL ESTATE,"2,350,000","1,675.95","1,402",09-Oct-20,67 BOWMONT GARDENS,Resale,Land,155.7,"15,093",-,Terrace House,1,Freehold,1954,Private,459908,15,45,East Region,Bedok
REGENT HEIGHTS,"812,000","1,162.51",698,09-Oct-20,56 BUKIT BATOK EAST AVENUE 5 #06-03,Resale,Strata,108,"7,519",-,Condominium,1,99 yrs from 07/11/1995,1999,Private,659804,23,65,West Region,Bukit Batok
STRATA,"1,520,000",839.59,"1,810",09-Oct-20,1 ESSEX ROAD #02-05,Resale,Strata,78,"19,487",-,Apartment,1,Freehold,2006,Private,309329,11,30,Central Region,Novena
SERANGOON GARDEN ESTATE,"6,490,000","4,231.33","1,534",09-Oct-20,88 FARLEIGH AVENUE,Resale,Land,393.1,"16,510",-,Detached House,1,999 yrs from 01/01/1954,-,Private,557862,19,55,North East Region,Serangoon
N.A.,"1,980,000","1,685.64","1,175",09-Oct-20,23 FLORENCE CLOSE,Resale,Land,156.6,"12,644",-,Terrace House,1,Freehold,-,Private,549608,19,54,North East Region,Hougang
SOUTHAVEN I,"1,150,000","1,302.44",883,09-Oct-20,43 HINDHEDE WALK #10-02,Resale,Strata,121,"9,504",-,Condominium,1,99 yrs from 01/08/1994,1997,Private,587973,21,58,West Region,Bukit Panjang
HOLLAND HILL PARK,"2,280,000","1,539.25","1,481",09-Oct-20,7 HOLLAND HILL #04-03,Resale,Strata,143,"15,944",-,Condominium,1,Freehold,1992,Private,278731,10,27,Central Region,Bukit Timah
TEACHER'S HOUSING ESTATE,"2,470,000","1,804.05","1,369",09-Oct-20,47 IQBAL AVENUE,Resale,Land,167.6,"14,737",-,Terrace House,1,999 yrs from 02/12/1885,-,Private,789477,26,78,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,"3,380,000","1,998.87","1,691",09-Oct-20,58 JALAN LANJUT,Resale,Land,185.7,"18,201",-,Terrace House,1,Freehold,-,Private,577701,20,57,North East Region,Ang Mo Kio
REFLECTIONS AT KEPPEL BAY,"2,350,000","1,754.53","1,339",09-Oct-20,27 KEPPEL BAY VIEW #19-83,Resale,Strata,163,"14,417",-,Condominium,1,99 yrs from 15/03/2006,2011,Private,98416,4,9,Central Region,Bukit Merah
KOVAN MELODY,"1,850,000","1,410.08","1,312",09-Oct-20,35 KOVAN ROAD #13-42,Resale,Strata,131,"14,122",-,Condominium,1,99 yrs from 20/01/2004,2006,Private,545019,19,54,North East Region,Hougang
INTERO,"1,500,000","1,011.82","1,482",09-Oct-20,8 LEICESTER ROAD #11-04,Resale,Strata,94,"15,957",-,Apartment,1,Freehold,2008,Private,358841,13,35,Central Region,Toa Payoh
N.A.,"4,725,000","3,304.55","1,430",09-Oct-20,13A LIM TAI SEE WALK,Resale,Land,307,"15,391",-,Semi-Detached House,1,Freehold,1999,Private,267778,10,26,Central Region,Bukit Timah
BEDOK PARK,"3,950,000","3,279.79","1,204",09-Oct-20,56 LIMAU GARDEN,Resale,Land,304.7,"12,964",-,Semi-Detached House,1,Freehold,2008,Private,467918,16,46,East Region,Bedok
G RESIDENCES,"2,150,000","2,002.10","1,074",09-Oct-20,50 LORONG G TELOK KURAU #05-02,Resale,Strata,186,"11,559",-,Apartment,1,Freehold,2016,Private,426233,15,42,East Region,Bedok
BARTLEY RESIDENCES,"1,846,000","1,345.50","1,372",09-Oct-20,7 LORONG HOW SUN #16-42,Resale,Strata,125,"14,768",-,Apartment,1,99 yrs from 29/06/2011,2015,HDB,536564,19,53,North East Region,Serangoon
RESIDENCES 88,"980,000","1,011.82",969,09-Oct-20,88 LORONG MARICAN #05-05,Resale,Strata,94,"10,426",-,Apartment,1,Freehold,2013,HDB,417297,14,41,East Region,Bedok
THE SAIL @ MARINA BAY,"2,160,000","1,313.21","1,645",09-Oct-20,6 MARINA BOULEVARD #26-22,Resale,Strata,122,"17,705",-,Apartment,1,99 yrs from 12/08/2002,2008,Private,18985,1,1,Central Region,Downtown Core
NEPTUNE COURT,"1,510,000","1,636.13",923,09-Oct-20,5 MARINE VISTA #17-47,Resale,Strata,152,"9,934",-,Apartment,1,99 yrs from 01/11/1975,1975,HDB,449029,15,44,East Region,Bedok
THE SEAFRONT ON MEYER,"2,680,000","1,614.60","1,660",09-Oct-20,55 MEYER ROAD #09-03,Resale,Strata,150,"17,867",-,Condominium,1,Freehold,2010,Private,437978,15,43,Central Region,Marine Parade
BARTLEY RIDGE,"2,000,000","1,550.02","1,290",09-Oct-20,38 MOUNT VERNON ROAD #09-27,Resale,Strata,144,"13,889",-,Condominium,1,99 yrs from 16/04/2012,2016,Private,368059,13,36,Central Region,Toa Payoh
THE COAST AT SENTOSA COVE,"3,400,000","2,357.32","1,442",09-Oct-20,280 OCEAN DRIVE #06-03,Resale,Strata,219,"15,525",-,Condominium,1,99 yrs from 11/04/2006,2009,Private,98451,4,9,Central Region,Southern Islands
N.A.,"1,800,000","1,092.55","1,648",09-Oct-20,169 ONAN ROAD,Resale,Land,101.5,"17,734",-,Terrace House,1,Freehold,-,Private,424563,15,42,Central Region,Geylang
MELVILLE PARK,"688,000",958,718,09-Oct-20,24 SIMEI STREET 1 #09-15,Resale,Strata,89,"7,730",-,Condominium,1,99 yrs from 01/09/1992,1996,HDB,529946,18,52,East Region,Tampines
CENTRA HEIGHTS,"860,000",570.49,"1,507",09-Oct-20,455 SIMS AVENUE #07-08,Resale,Strata,53,"16,226",-,Apartment,1,Freehold,2014,Private,387607,14,38,Central Region,Geylang
8 SAINT THOMAS,"3,655,000","1,302.44","2,806",09-Oct-20,10 ST. THOMAS WALK #23-09,Resale,Strata,121,"30,207",-,Condominium,1,Freehold,2018,Private,238102,9,23,Central Region,River Valley
WATERVIEW,"1,100,000","1,130.22",973,09-Oct-20,95 TAMPINES AVENUE 1 #02-46,Resale,Strata,105,"10,476",-,Condominium,1,99 yrs from 16/06/2010,2014,HDB,528692,18,52,East Region,Tampines
CHELSEA LODGE,"1,160,000","1,001.05","1,159",09-Oct-20,300 TANJONG KATONG ROAD #05-16,Resale,Strata,93,"12,473",-,Apartment,1,Freehold,2000,Private,437083,15,43,Central Region,Marine Parade
GRANDEUR PARK RESIDENCES,"888,000",581.26,"1,528",09-Oct-20,1 BEDOK SOUTH AVENUE 3 #01-03,Sub Sale,Strata,54,"16,444",-,Condominium,1,99 yrs from 25/05/2016,Uncompleted,Private,465461,16,46,East Region,Bedok
REGENT HEIGHTS,"810,000","1,022.58",792,09-Oct-20,52 BUKIT BATOK EAST AVENUE 5 #18-08,Resale,Strata,95,"8,526",-,Condominium,1,99 yrs from 07/11/1995,1999,HDB,659802,23,65,West Region,Bukit Batok
CAIRNHILL RESIDENCES,"2,480,000","1,173.28","2,114",09-Oct-20,31 CAIRNHILL CIRCLE #02-02,Resale,Strata,109,"22,752",-,Apartment,1,Freehold,2009,Private,229774,9,22,Central Region,Newton
SPANISH VILLAGE,"1,650,000","1,162.51","1,419",09-Oct-20,66 FARRER ROAD #01-06,Resale,Strata,108,"15,278",-,Condominium,1,Freehold,1987,Private,268849,10,26,Central Region,Tanglin
RIVERTREES RESIDENCES,"875,000",731.95,"1,195",09-Oct-20,23 FERNVALE CLOSE #15-09,Resale,Strata,68,"12,868",-,Apartment,1,99 yrs from 28/08/2013,2017,Private,797461,28,79,North East Region,Sengkang
MONTROSA,"1,150,000","1,194.80",963,09-Oct-20,132 HILLVIEW AVENUE #07-02,Resale,Strata,111,"10,360",-,Condominium,1,999 yrs from 12/10/1885,1999,HDB,669597,23,66,West Region,Bukit Batok
PARC OASIS,"1,230,000","1,388.56",886,09-Oct-20,37 JURONG EAST AVENUE 1 #11-04,Resale,Strata,129,"9,535",-,Condominium,1,99 yrs from 01/12/1991,1994,HDB,609775,22,60,West Region,Jurong East
CARIBBEAN AT KEPPEL BAY,"1,430,000",882.65,"1,620",09-Oct-20,46 KEPPEL BAY DRIVE #06-127,Resale,Strata,82,"17,439",-,Condominium,1,99 yrs from 16/08/1999,2004,Private,98635,4,9,Central Region,Bukit Merah
TIVOLI GRANDE,"1,280,000","1,237.86","1,034",09-Oct-20,126 KOON SENG ROAD #05-10,Resale,Strata,115,"11,130",-,Apartment,1,Freehold,2012,HDB,427059,15,42,Central Region,Marine Parade
FERN LODGE,"820,000","1,022.58",802,09-Oct-20,7 LORONG 4 GEYLANG #02-02,Resale,Strata,95,"8,632",-,Apartment,1,Freehold,1993,Private,399266,14,39,Central Region,Geylang
D'NEST,"635,000",484.38,"1,311",09-Oct-20,135 PASIR RIS GROVE #10-30,Resale,Strata,45,"14,111",-,Condominium,1,99 yrs from 20/10/2010,2017,HDB,518132,18,51,East Region,Pasir Ris
RIPPLE BAY,"1,310,000","1,313.21",998,09-Oct-20,6 PASIR RIS LINK #06-20,Resale,Strata,122,"10,738",-,Condominium,1,99 yrs from 10/08/2011,2015,HDB,518161,18,51,East Region,Pasir Ris
CANTIZ @ RAMBAI,"1,038,000",871.88,"1,191",09-Oct-20,21 RAMBAI ROAD #04-01,Resale,Strata,81,"12,815",-,Apartment,1,Freehold,2010,HDB,424340,15,42,Central Region,Marine Parade
76 SHENTON,"1,120,000",592.02,"1,892",09-Oct-20,76 SHENTON WAY #24-06,Resale,Strata,55,"20,364",-,Apartment,1,99 yrs from 12/04/2007,2014,HDB,79119,2,7,Central Region,Downtown Core
SIMS URBAN OASIS,"935,000",624.31,"1,498",09-Oct-20,10 SIMS DRIVE #06-35,Resale,Strata,58,"16,121",-,Condominium,1,99 yrs from 29/07/2014,2017,Private,387390,14,38,Central Region,Geylang
SOLEIL @ SINARAN,"2,225,000","1,453.14","1,531",09-Oct-20,2 SINARAN DRIVE #29-04,Resale,Strata,135,"16,481",-,Condominium,1,99 yrs from 23/10/2006,2011,Private,307467,11,30,Central Region,Novena
LA SUISSE,"2,500,000","2,131.27","1,173",09-Oct-20,5 SWISS VIEW #03-04,Resale,Strata,198,"12,626",-,Condominium,1,999 yrs from 10/08/1878,1993,Private,288011,11,28,Central Region,Bukit Timah
SUMMERDALE,"840,000","1,194.80",703,09-Oct-20,8 BOON LAY DRIVE #06-23,Resale,Strata,111,"7,568",-,Executive Condominium,1,99 yrs from 22/09/1997,2000,HDB,649928,22,64,West Region,Jurong West
YEW MEI GREEN,"1,190,000","1,593.07",747,09-Oct-20,56 CHOA CHU KANG NORTH 6 #18-25,Resale,Strata,148,"8,041",-,Executive Condominium,1,99 yrs from 01/12/1997,2000,HDB,689577,23,68,West Region,Choa Chu Kang
N.A.,"2,948,000","1,561.86","1,887",09-Oct-20,37 EVERITT ROAD,Resale,Land,145.1,"20,317",-,Terrace House,1,Freehold,2013,HDB,428585,15,42,Central Region,Geylang
N.A.,"5,000,000","5,505.79",908,09-Oct-20,21 HARVEY AVENUE,Resale,Land,511.5,"9,775",-,Detached House,1,Freehold,1994,Private,489494,16,48,East Region,Tampines
CITYLIGHTS,"1,200,000",678.13,"1,770",09-Oct-20,88 JELLICOE ROAD #34-22,Resale,Strata,63,"19,048",-,Condominium,1,99 yrs from 05/01/2004,2007,HDB,208747,8,20,Central Region,Kallang
MARINA ONE RESIDENCES,"1,754,469",764.24,"2,296",09-Oct-20,23 MARINA WAY #29-30,Resale,Strata,71,"24,711",-,Apartment,1,99 yrs from 01/07/2011,2017,HDB,18979,1,1,Central Region,Downtown Core
GLENTREES,"1,780,000","1,345.50","1,323",09-Oct-20,11D MOUNT SINAI LANE #04-17,Resale,Strata,125,"14,240",-,Condominium,1,999 yrs from 17/09/1885,2005,Private,277053,10,27,Central Region,Bukit Timah
CASABLANCA,"830,000","1,108.69",749,09-Oct-20,21 ROSEWOOD DRIVE #09-04,Resale,Strata,103,"8,058",-,Condominium,1,99 yrs from 02/10/2001,2005,Private,737917,25,73,North Region,Woodlands
10 SHELFORD,"920,000",871.88,"1,055",09-Oct-20,10 SHELFORD ROAD #04-07,Resale,Strata,81,"11,358",-,Apartment,1,Freehold,2014,HDB,288353,11,28,Central Region,Bukit Timah
THE GARDENS AT BISHAN,"1,360,000","1,205.57","1,128",09-Oct-20,1 SIN MING WALK #03-38,Resale,Strata,112,"12,143",-,Condominium,1,99 yrs from 22/03/1997,2004,Private,575574,20,57,Central Region,Bishan
RIS GRANDEUR,"2,220,000","3,702.82",600,09-Oct-20,27 ELIAS ROAD #17-13,Resale,Strata,344,"6,453",-,Condominium,1,Freehold,2005,Private,519932,18,51,East Region,Pasir Ris
MOUNT SINAI,"6,820,000","4,566.09","1,494",09-Oct-20,1 MOUNT SINAI DRIVE,Resale,Land,424.2,"16,077",-,Semi-Detached House,1,999 yrs from 22/09/1885,1995,Private,277062,10,27,Central Region,Bukit Timah
WHITEWATER,"945,000","1,259.39",750,09-Oct-20,33 PASIR RIS STREET 72 #14-28,Resale,Strata,117,"8,077",-,Executive Condominium,1,99 yrs from 23/07/2002,2005,HDB,518770,18,51,East Region,Pasir Ris
PAYA LEBAR GARDENS,"2,480,000","1,604.91","1,545",09-Oct-20,212 UPPER PAYA LEBAR ROAD,Resale,Land,149.1,"16,633",-,Terrace House,1,Freehold,-,Private,534881,19,53,North East Region,Hougang
LA CASA,"743,000",979.52,759,09-Oct-20,56 WOODLANDS DRIVE 16 #01-16,Resale,Strata,91,"8,165",-,Executive Condominium,1,99 yrs from 13/09/2004,2008,Private,737898,25,73,North Region,Woodlands
BARTLEY VILLAS,"1,980,000","2,226",889,09-Oct-20,34 HOW SUN WALK,Resale,Land,206.8,"9,574",-,Semi-Detached House,1,99 yrs from 01/05/1993,1996,Private,538456,19,53,North East Region,Serangoon
KOVAN RESIDENCES,"1,680,000","1,259.39","1,334",09-Oct-20,3 KOVAN ROAD #13-10,Resale,Strata,117,"14,359",-,Condominium,1,99 yrs from 31/12/2007,2011,Private,544917,19,54,North East Region,Hougang
PARC ROSEWOOD,"760,000",828.83,917,09-Oct-20,79 ROSEWOOD DRIVE #02-47,Resale,Strata,77,"9,870",-,Condominium,1,99 yrs from 07/09/2011,2014,Private,737787,25,73,North Region,Woodlands
PARC ROSEWOOD,"1,120,000","1,700.71",659,09-Oct-20,79 ROSEWOOD DRIVE #05-45,Resale,Strata,158,"7,089",-,Condominium,1,99 yrs from 07/09/2011,2014,Private,737787,25,73,North Region,Woodlands
