Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE MINTON,"1,488,000","1,323.97","1,124",02-Oct-20,12B HOUGANG STREET 11 #15-63,Resale,Strata,123,"12,098",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534073,19,53,North East Region,Hougang
REGENCY SUITES,"2,850,000","1,420.85","2,006",02-Oct-20,36 KIM TIAN ROAD #34-03,Resale,Strata,132,"21,591",-,Apartment,1,Freehold,2008,Private,169279,3,16,Central Region,Bukit Merah
THE ROCHESTER RESIDENCES,"1,950,000","1,679.18","1,161",02-Oct-20,33 ROCHESTER DRIVE #21-08,Resale,Strata,156,"12,500",-,Apartment,1,99 yrs from 02/02/2005,2011,Private,138638,5,13,Central Region,Queenstown
GEM RESIDENCES,"1,730,000","1,011.82","1,710",02-Oct-20,3 LORONG 5 TOA PAYOH #30-12,Sub Sale,Strata,94,"18,404",-,Condominium,1,99 yrs from 21/09/2015,2019,HDB,319459,12,31,Central Region,Toa Payoh
KENTISH GREEN,"1,040,000","1,097.93",947,02-Oct-20,20 OXFORD ROAD #03-07,Resale,Strata,102,"10,196",-,Apartment,1,99 yrs from 01/03/1995,1999,Private,218815,8,21,Central Region,Kallang
EVANIA,"1,280,000","1,291.68",991,02-Oct-20,389 UPPER PAYA LEBAR ROAD #04-01,Resale,Strata,120,"10,667",-,Apartment,1,Freehold,2010,HDB,534979,19,53,North East Region,Serangoon
PALM GARDENS,"875,000","1,205.57",726,02-Oct-20,2B HONG SAN WALK #14-01,Resale,Strata,112,"7,813",-,Condominium,1,99 yrs from 12/08/1996,2000,HDB,689048,23,68,West Region,Choa Chu Kang
BARTLEY RESIDENCES,"1,245,000",904.18,"1,377",02-Oct-20,3 LORONG HOW SUN #11-09,Resale,Strata,84,"14,821",-,Apartment,1,99 yrs from 29/06/2011,2015,HDB,536560,19,53,North East Region,Serangoon
LIVIA,"1,155,000","1,410.08",819,02-Oct-20,79 PASIR RIS GROVE #11-39,Resale,Strata,131,"8,817",-,Condominium,1,99 yrs from 07/01/2008,2011,HDB,518209,18,51,East Region,Pasir Ris
THE MINTON,"760,000",710.42,"1,070",02-Oct-20,12B HOUGANG STREET 11 #03-61,Resale,Strata,66,"11,515",-,Condominium,1,99 yrs from 27/07/2007,2013,HDB,534073,19,53,North East Region,Hougang
SUMMERHILL,"1,550,000","1,205.57","1,286",02-Oct-20,54 HUME AVENUE #08-08,Resale,Strata,112,"13,839",-,Condominium,1,Freehold,2002,Private,596231,21,59,West Region,Bukit Batok
SPRINGHILL,"1,503,888","3,013.92",499,02-Oct-20,2 SEMBAWANG WALK #01-69,Resale,Strata,280,"5,371",-,Terrace House,1,99 yrs from 07/01/2002,2005,Private,757616,27,75,North Region,Sembawang
HERITAGE EAST,"1,260,000","1,108.69","1,136",02-Oct-20,453 EAST COAST ROAD #01-22,Resale,Strata,103,"12,233",-,Apartment,1,Freehold,2012,Private,429026,15,42,East Region,Bedok
MEIER SUITES,"3,030,000","1,797.59","1,686",02-Oct-20,10 MARGATE ROAD #16-04,Resale,Strata,167,"18,144",-,Condominium,1,Freehold,2012,Private,438051,15,43,Central Region,Marine Parade
LA FIESTA,"1,148,000",893.41,"1,285",02-Oct-20,50 SENGKANG SQUARE #13-04,Resale,Strata,83,"13,831",-,Condominium,1,99 yrs from 03/09/2012,2016,HDB,544830,19,54,North East Region,Sengkang
COCO PALMS,"858,000",742.72,"1,155",02-Oct-20,25 PASIR RIS GROVE #02-44,Resale,Strata,69,"12,435",-,Condominium,1,99 yrs from 07/01/2008,2018,HDB,518072,18,51,East Region,Pasir Ris
SKIES MILTONIA,"580,000",484.38,"1,197",02-Oct-20,29 MILTONIA CLOSE #07-20,Resale,Strata,45,"12,889",-,Condominium,1,99 yrs from 20/02/2012,2016,HDB,768062,27,76,North Region,Yishun
RIPPLE BAY,"575,000",484.38,"1,187",02-Oct-20,2 PASIR RIS LINK #07-06,Resale,Strata,45,"12,778",-,Condominium,1,99 yrs from 10/08/2011,2015,HDB,518184,18,51,East Region,Pasir Ris
WATERVIEW,"1,240,000","1,184.04","1,047",02-Oct-20,91 TAMPINES AVENUE 1 #06-40,Resale,Strata,110,"11,273",-,Condominium,1,99 yrs from 16/06/2010,2014,Private,528690,18,52,East Region,Tampines
THE HILLFORD,"485,000",398.27,"1,218",02-Oct-20,172 JALAN JURONG KECHIL #01-13,Resale,Strata,37,"13,108",-,Apartment,1,60 yrs from 19/02/2013,2016,Private,596182,21,59,Central Region,Bukit Timah
N.A.,"2,318,888","2,938.57",789,02-Oct-20,21 JALAN ULU SIGLAP,Resale,Strata,273,"8,494",-,Terrace House,1,Freehold,2005,Private,457195,15,45,East Region,Bedok
CHARLTON VILLAS,"2,200,000","3,110.80",707,02-Oct-20,27G CHARLTON LANE,Resale,Strata,289,"7,612",-,Terrace House,1,Freehold,2010,Private,534150,19,53,North East Region,Hougang
THE TANAMERA,"866,000",947.23,914,02-Oct-20,5 TANAH MERAH KECHIL ROAD #03-01,Resale,Strata,88,"9,841",-,Condominium,1,99 yrs from 01/06/1990,1994,HDB,466665,16,46,East Region,Bedok
BREEZE BY THE EAST,"2,050,000","1,571.54","1,304",02-Oct-20,318 UPPER EAST COAST ROAD #02-07,Resale,Strata,146,"14,041",-,Condominium,1,Freehold,2011,HDB,465521,16,46,East Region,Bedok
KANDIS RESIDENCE,"965,000",808.38,"1,194",03-Oct-20,8 KANDIS LINK #05-12,New Sale,Strata,75.1,"12,850",-,Condominium,1,99 yrs from 11/07/2016,Uncompleted,HDB,756970,27,75,North Region,Sembawang
JADESCAPE,"1,364,000",764.24,"1,785",03-Oct-20,10 SHUNFU ROAD #04-35,New Sale,Strata,71,"19,211",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575746,20,57,Central Region,Bishan
JADESCAPE,"976,000",527.44,"1,850",03-Oct-20,16 SHUNFU ROAD #21-58,New Sale,Strata,49,"19,918",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575749,20,57,Central Region,Bishan
THE WOODLEIGH RESIDENCES,"1,123,000",570.49,"1,968",03-Oct-20,21 BIDADARI PARK DRIVE #12-21,New Sale,Strata,53,"21,189",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,HDB,367795,13,36,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,923,000",958,"2,007",03-Oct-20,31 BIDADARI PARK DRIVE #09-55,New Sale,Strata,89,"21,607",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367800,13,36,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,"1,818,000","1,410.08","1,289",03-Oct-20,47 HOUGANG AVENUE 7 #08-42,New Sale,Strata,131,"13,878",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,N.A,533816,19,53,North East Region,Hougang
THE GARDEN RESIDENCES,"1,042,800",613.55,"1,700",03-Oct-20,7 SERANGOON NORTH VIEW #12-32,New Sale,Strata,57,"18,295",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,HDB,554346,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,162,900",688.9,"1,688",03-Oct-20,9 SERANGOON NORTH VIEW #10-37,New Sale,Strata,64,"18,170",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,N.A,554347,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,258,800",796.54,"1,580",03-Oct-20,9 SERANGOON NORTH VIEW #08-43,New Sale,Strata,74,"17,011",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,Private,554347,19,55,North East Region,Serangoon
KENT RIDGE HILL RESIDENCES,"1,427,000",742.72,"1,921",03-Oct-20,64 SOUTH BUONA VISTA ROAD #03-52,New Sale,Strata,69,"20,681",-,Apartment,1,99 yrs from 10/11/2018,Uncompleted,Private,118174,5,11,Central Region,Queenstown
