Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
FOURTH AVENUE RESIDENCES,"1,702,000",710.42,"2,396",02-Sep-21,10 FOURTH AVENUE #02-31,New Sale,Strata,66,"25,788",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,N.A,268675,10,26,Central Region,Bukit Timah
SLOANE RESIDENCES,"4,151,000","1,496.20","2,774",02-Sep-21,17 BALMORAL ROAD #11-08,New Sale,Strata,139,"29,863",-,Apartment,1,Freehold,Uncompleted,Private,259803,10,25,Central Region,Tanglin
ROYALGREEN,"1,846,000",667.37,"2,766",02-Sep-21,6A ANAMALAI AVENUE #02- 47,New Sale,Strata,62,"29,774",-,Condominium,1,Freehold,Uncompleted,N.A,279995,10,27,Central Region,Bukit Timah
NORMANTON PARK,"952,380",516.67,"1,843",02-Sep-21,57 NORMANTON PARK #07-54,New Sale,Strata,48,"19,841",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,Private,117284,5,11,Central Region,Queenstown
NORMANTON PARK,"1,588,000",904.18,"1,756",02-Sep-21,59 NORMANTON PARK #06-68,New Sale,Strata,84,"18,905",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,N.A,117285,5,11,Central Region,Queenstown
NORMANTON PARK,"941,000",527.44,"1,784",02-Sep-21,59 NORMANTON PARK #14-70,New Sale,Strata,49,"19,204",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,N.A,117285,5,11,Central Region,Queenstown
NEU AT NOVENA,"3,228,960","1,302.44","2,479",02-Sep-21,27 MOULMEIN RISE #16-05,New Sale,Strata,121,"26,686",-,Apartment,1,Freehold,Uncompleted,Private,308140,11,30,Central Region,Novena
VERDALE,"1,112,500",613.55,"1,813",02-Sep-21,12 DE SOUZA AVENUE #04-34,New Sale,Strata,57,"19,518",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,599462,21,59,Central Region,Bukit Timah
AVENUE SOUTH RESIDENCE,"1,587,000",688.9,"2,304",02-Sep-21,11 SILAT AVENUE #45-35,New Sale,Strata,64,"24,797",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,168877,3,16,Central Region,Bukit Merah
AVENUE SOUTH RESIDENCE,"2,076,000",947.23,"2,192",02-Sep-21,11 SILAT AVENUE #38-36,New Sale,Strata,88,"23,591",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,Private,168877,3,16,Central Region,Bukit Merah
AVENUE SOUTH RESIDENCE,"2,092,000",947.23,"2,209",02-Sep-21,13 SILAT AVENUE #41-42,New Sale,Strata,88,"23,773",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,168878,3,16,Central Region,Bukit Merah
FORETT AT BUKIT TIMAH,"2,297,000","1,087.16","2,113",02-Sep-21,34A TOH TUCK ROAD #01-39,New Sale,Strata,101,"22,743",-,Apartment,1,Freehold,Uncompleted,N.A,596112,21,59,Central Region,Bukit Timah
LEEDON GREEN,"2,878,000","1,044.11","2,756",02-Sep-21,26 LEEDON HEIGHTS #11-03,New Sale,Strata,97,"29,670",-,Condominium,1,Freehold,Uncompleted,Private,266221,10,26,Central Region,Bukit Timah
LEEDON GREEN,"1,748,000",710.42,"2,461",02-Sep-21,28 LEEDON HEIGHTS #03-13,New Sale,Strata,66,"26,485",-,Condominium,1,Freehold,Uncompleted,Private,266222,10,26,Central Region,Bukit Timah
ALEXIS,"745,000",398.27,"1,871",02-Sep-21,356 ALEXANDRA ROAD #04-19,Resale,Strata,37,"20,135",-,Apartment,1,Freehold,2012,HDB,159949,3,15,Central Region,Queenstown
ONE AMBER,"2,410,000","1,302.44","1,850",02-Sep-21,3 AMBER GARDENS #14-13,Resale,Strata,121,"19,917",-,Condominium,1,Freehold,2010,Private,439972,15,43,Central Region,Marine Parade
THE PLAZA,"788,000",678.13,"1,162",02-Sep-21,7500A BEACH ROAD #25-313,Resale,Strata,63,"12,508",-,Apartment,1,99 yrs from 03/09/1968,1979,Private,199591,7,19,Central Region,Downtown Core
SKY HABITAT,"1,650,000","1,022.58","1,614",02-Sep-21,9 BISHAN STREET 15 #13-15,Resale,Strata,95,"17,368",-,Condominium,1,99 yrs from 30/05/2011,2015,HDB,573909,20,57,Central Region,Bishan
TURQUOISE,"3,177,660","2,088.22","1,522",02-Sep-21,51 COVE DRIVE #04-05,Resale,Strata,194,"16,380",-,Condominium,1,99 yrs from 12/03/2007,2010,Private,98393,4,9,Central Region,Southern Islands
THE GLYNDEBOURNE,"3,100,000","1,474.67","2,102",02-Sep-21,38 TREVOSE CRESCENT #03-19,Resale,Strata,137,"22,628",-,Condominium,1,Freehold,2013,Private,297722,11,29,Central Region,Novena
WINDSOR PARK ESTATE,"3,200,000","2,041.93","1,567",02-Sep-21,62 WINDSOR PARK ROAD,Resale,Land,189.7,"16,869",-,Terrace House,1,Freehold,-,Private,574164,20,57,Central Region,Bishan
ONE DUSUN RESIDENCES,"1,020,000",656.6,"1,553",02-Sep-21,1 JALAN DUSUN #08-06,Resale,Strata,61,"16,721",-,Apartment,1,Freehold,2016,Private,329363,12,32,Central Region,Novena
THE MERASAGA,"1,610,000",958,"1,681",02-Sep-21,23 JALAN MERAH SAGA #06-02,Resale,Strata,89,"18,090",-,Condominium,1,99 yrs from 18/11/1991,1995,Private,278102,10,27,Central Region,Bukit Timah
REFLECTIONS AT KEPPEL BAY,"2,981,000","1,743.77","1,710",02-Sep-21,8 KEPPEL BAY VIEW #07-34,Resale,Strata,162,"18,401",-,Condominium,1,99 yrs from 15/03/2006,2011,HDB,98406,4,9,Central Region,Bukit Merah
N.A.,"16,800,000","15,165.40","1,108",02-Sep-21,41 KING ALBERT PARK,Resale,Land,"1,408.90","11,924",-,Detached House,1,Freehold,1989,HDB,598322,21,59,Central Region,Bukit Timah
CITY SQUARE RESIDENCES,"2,588,000","1,517.72","1,705",02-Sep-21,14 KITCHENER LINK #07-31,Resale,Strata,141,"18,355",-,Condominium,1,Freehold,2008,Private,207223,8,20,Central Region,Kallang
